Usuario,Anio_semana,Actividad_relativa_p50,Superavit_calorico_p50,HRV_SDNN_p50,Delta_cardiaco_p50,Fecha,Cluster,Cluster_label,PC1,PC2,TSNE1,TSNE2
Usuario_1,2022_W08,0.05,13.932341480694296,40.884166666666665,29.5,2022-02-23,0,SEDENTARIO,-1.7716003630414525,-0.5098705046778746,-34.597443,-20.989433
Usuario_1,2022_W09,0.1013888888888888,20.929365922777187,45.95754,36.0,2022-02-28,0,SEDENTARIO,-0.9120288313377962,-0.24665231229566734,-21.37,-18.517666
Usuario_1,2022_W10,0.0744444444444444,19.94148069429685,63.462120000000006,46.0,2022-03-07,0,SEDENTARIO,-0.8170681644963743,-0.453942106775435,-16.364878,-2.860097
Usuario_1,2022_W11,0.073076923076923,22.523273113708814,46.6064,37.0,2022-03-14,0,SEDENTARIO,-1.0100761090608235,-0.29615669457513294,-29.493547,-14.375105
Usuario_1,2022_W12,0.0722222222222222,25.660644704215372,47.667085,35.5,2022-03-21,0,SEDENTARIO,-1.0228274912654076,-0.07797778827827369,-30.294943,-13.028296
Usuario_1,2022_W13,0.0568627450980392,23.420970598653916,54.58083333333333,40.5,2022-03-28,0,SEDENTARIO,-1.0134453860484633,-0.29867009810635103,-26.570038,-5.499279
Usuario_1,2022_W14,0.069047619047619,21.30882040382572,43.33842,36.0,2022-04-04,0,SEDENTARIO,-1.0825177654885756,-0.38222364402032016,-30.352455,-15.702954
Usuario_1,2022_W15,0.07,15.316046758767271,43.45895,34.75,2022-04-11,0,SEDENTARIO,-1.3308376609230235,-0.5728028607899207,-30.572868,-19.645403
Usuario_1,2022_W16,0.1309523809523809,26.54714842366277,51.65195,41.0,2022-04-18,0,SEDENTARIO,-0.3388873419815118,-0.02722679918429674,-14.540072,7.33802
Usuario_1,2022_W17,0.0619047619047619,24.62167906482465,45.4983,36.0,2022-04-25,0,SEDENTARIO,-1.0636293989746255,-0.21987122139767504,-31.754675,-13.304491
Usuario_1,2022_W18,0.1,28.536946510804103,44.6126,33.5,2022-05-02,0,SEDENTARIO,-0.8141754711936119,0.15264520028774556,-22.733309,-16.807873
Usuario_1,2022_W19,0.07777777777777775,22.517995040736807,55.7739825,36.75,2022-05-09,0,SEDENTARIO,-1.1303577469661108,-0.08146605456429001,-31.083782,-2.1479797
Usuario_1,2022_W20,0.0680555555555555,24.2384697130712,46.50285,34.0,2022-05-16,0,SEDENTARIO,-1.1628011814304988,-0.1073427694987381,-31.509771,-14.022209
Usuario_1,2022_W21,0.0461538461538461,22.151328374070136,48.299775,41.75,2022-05-23,0,SEDENTARIO,-0.9590572041507472,-0.5699816503300382,-25.7476,-9.343073
Usuario_1,2022_W22,0.0378787878787878,19.522210414452708,52.247150000000005,42.0,2022-05-30,0,SEDENTARIO,-1.1403932337283516,-0.6348787063915502,-22.447086,-5.4090314
Usuario_1,2022_W23,0.0666666666666666,18.40474672334396,58.431225,48.0,2022-06-06,0,SEDENTARIO,-0.7265580702741666,-0.7352998653579867,-16.528143,-4.304315
Usuario_1,2022_W24,0.0535714285714285,20.523131420474677,55.3391875,43.5,2022-06-13,0,SEDENTARIO,-0.9632854469617286,-0.5486497527321932,-20.672573,-5.4220243
Usuario_1,2022_W25,0.05,21.603117251151257,58.04866666666666,40.8878,2022-06-20,0,SEDENTARIO,-1.1454420523558662,-0.3413051769328745,-26.03523,-4.8925104
Usuario_1,2022_W26,0.0702380952380952,19.98101310662416,52.35185,35.0,2022-06-27,0,SEDENTARIO,-1.3075076885090908,-0.20334875091746085,-31.66077,-8.939512
Usuario_1,2022_W27,0.0577777777777777,24.79178179241941,48.71515,41.0,2022-07-04,0,SEDENTARIO,-0.8487564101464373,-0.38196709934057493,-26.337383,-9.925051
Usuario_1,2022_W28,0.0544444444444444,22.96705632306057,61.306625,46.0,2022-07-11,0,SEDENTARIO,-0.8299414068578166,-0.4316059353214326,-17.682114,-2.3682096
Usuario_1,2022_W29,0.0618055555555555,25.078852284803403,53.51682000000001,36.0,2022-07-18,0,SEDENTARIO,-1.171155885832469,-0.03513095381043142,-30.87798,-10.159566
Usuario_1,2022_W30,0.1083333333333333,24.216861494863625,52.94856,44.0,2022-07-25,0,SEDENTARIO,-0.41195764072728447,-0.300406534217193,-12.074662,-9.419802
Usuario_1,2022_W31,0.0384615384615384,20.900531349628057,56.99764999999999,38.5,2022-08-01,0,SEDENTARIO,-1.3666513928127793,-0.32062785373612296,-28.319624,-5.498692
Usuario_1,2022_W32,0.0702380952380952,21.124052426496636,51.15632,37.5,2022-08-08,0,SEDENTARIO,-1.111712564730641,-0.29172490621798575,-29.002432,-11.082552
Usuario_1,2022_W33,0.0625,23.87956075097414,50.669920000000005,37.5,2022-08-15,0,SEDENTARIO,-1.0739428512279876,-0.20930812212526934,-30.090712,-11.003161
Usuario_1,2022_W34,0.0522222222222222,24.30407368048176,60.061075,38.0,2022-08-22,0,SEDENTARIO,-1.2441576735619373,-0.05052477085898459,-29.620064,-4.348205
Usuario_1,2022_W35,0.0653846153846153,24.51781792419412,58.0359,40.5,2022-08-29,0,SEDENTARIO,-0.9739039271968144,-0.155482727249435,-26.3755,-3.1942718
Usuario_1,2022_W36,0.0564102564102564,19.55274530641162,57.87736666666666,34.5,2022-09-05,0,SEDENTARIO,-1.526938598942355,-0.12635504368246597,-32.79745,-6.5072217
Usuario_1,2022_W37,0.0510416666666666,24.20935175345377,46.03716666666667,33.5,2022-09-12,0,SEDENTARIO,-1.301784244064062,-0.14707393398073573,-32.838295,-14.0724945
Usuario_1,2022_W38,0.0735416666666666,26.468792065178885,48.12926,38.0,2022-09-19,0,SEDENTARIO,-0.8530889044510807,-0.1421691865362441,-27.082863,-12.00719
Usuario_1,2022_W39,0.0666666666666666,23.39822883457315,51.50165,39.5,2022-09-26,0,SEDENTARIO,-0.9579527662880937,-0.2891269287163092,-27.890068,-10.04228
Usuario_1,2022_W40,0.0657407407407407,24.47977329082536,45.8857625,37.0,2022-10-03,0,SEDENTARIO,-0.9902189442271532,-0.25094332414443543,-30.383314,-13.8695135
Usuario_1,2022_W41,0.0625,20.80623450230252,46.900075,35.0,2022-10-10,0,SEDENTARIO,-1.253441538574541,-0.3047187636579063,-31.590874,-15.097077
Usuario_1,2022_W42,0.0555555555555555,18.12766560396741,45.52433333333334,30.0,2022-10-17,0,SEDENTARIO,-1.6477587934699907,-0.24326049035465735,-34.435043,-21.620628
Usuario_1,2022_W43,0.0809523809523809,25.390648246546228,52.460766666666665,37.0,2022-10-24,0,SEDENTARIO,-0.9574704232580052,-0.030909395477420276,-28.10849,-11.972432
Usuario_1,2022_W44,0.0602564102564102,22.00425079702444,54.75715,34.5,2022-10-31,0,SEDENTARIO,-1.3794285238796562,-0.07631194559650811,-33.094254,-5.8807936
Usuario_1,2022_W45,0.054487179487179446,20.658767268862913,49.25075,47.5,2022-11-07,0,SEDENTARIO,-0.6321582390142588,-0.8447887352669272,-2.5693352,-9.464472
Usuario_1,2022_W46,0.07357142857142855,19.4897626638328,49.4547,29.0,2022-11-15,0,SEDENTARIO,-1.5996266337564315,-0.005852844806954111,-33.66413,-22.589579
Usuario_1,2022_W47,0.0922222222222222,21.723910733262485,61.13156,35.0,2022-11-21,0,SEDENTARIO,-1.2363914212924483,0.11762197350948922,-32.25872,0.5151038
Usuario_1,2022_W48,0.0858974358974359,21.459015232022672,56.09636666666666,35.0,2022-11-28,0,SEDENTARIO,-1.211922851244969,-0.0166779247045985,-32.019196,-1.3763931
Usuario_1,2022_W49,0.0833333333333333,24.86546227417641,51.488225,47.0,2022-12-05,0,SEDENTARIO,-0.36964804102737153,-0.5126169002982743,-8.626023,-6.807075
Usuario_1,2022_W50,0.0897435897435897,22.37520368402409,46.88856666666667,42.0,2022-12-12,0,SEDENTARIO,-0.6183188702977244,-0.46972350120189915,-13.631471,-13.676951
Usuario_1,2022_W51,0.0847222222222222,20.04002833864683,49.9836,36.0,2022-12-19,0,SEDENTARIO,-1.1136441893229514,-0.2509196732377228,-27.262463,-15.122882
Usuario_1,2022_W52,0.0552083333333333,18.917676230959973,48.26105,35.5,2022-12-26,0,SEDENTARIO,-1.3523777074614474,-0.4001994516567928,-32.43913,-15.588982
Usuario_1,2023_W01,0.0743589743589743,19.460148777895856,48.84545,36.0,2023-01-02,0,SEDENTARIO,-1.185012504154296,-0.33001380609560726,-28.511799,-15.059204
Usuario_1,2023_W02,0.0702380952380952,21.25115125752745,49.45362,37.0,2023-01-09,0,SEDENTARIO,-1.1108763794207974,-0.2992639230606825,-28.969948,-13.599506
Usuario_1,2023_W03,0.0826465201465201,18.904215373715907,42.378816666666665,36.69125,2023-01-16,0,SEDENTARIO,-1.0081852248347494,-0.4930396031409988,-27.376654,-19.26382
Usuario_1,2023_W04,0.0770833333333333,18.61983705278073,43.4897,43.75,2023-01-23,0,SEDENTARIO,-0.6672837810088407,-0.8140698832080062,-6.04787,-12.029842
Usuario_1,2023_W05,0.0958333333333333,20.60857244066596,48.00501666666666,39.5,2023-01-30,0,SEDENTARIO,-0.790114254774166,-0.3908517684207211,-16.55657,-15.362975
Usuario_1,2023_W06,0.0604166666666666,12.162557562876374,52.898175,31.25,2023-02-06,0,SEDENTARIO,-1.8344577440518266,-0.3825799230077261,-34.938946,-19.302956
Usuario_1,2023_W07,0.0709523809523809,18.40024796315976,52.7901,39.0,2023-02-16,0,SEDENTARIO,-1.1279567473116883,-0.4372267658069854,-28.150518,-8.226175
Usuario_1,2023_W08,0.0722222222222222,20.05688983351045,54.7366,39.0,2023-02-20,0,SEDENTARIO,-1.098407153055457,-0.3235480146653229,-28.553936,-7.9525065
