usuario_id,semana_inicio,dias_monitoreados,dias_faltantes,max_run_faltantes,pct_imputada_FC_walk,flag_baja_cobertura
u3,2022-06-21,3,4,4,33.33333333333333,0
u3,2022-06-28,7,0,0,14.285714285714285,0
u3,2022-07-05,7,0,0,14.285714285714285,0
u3,2022-07-12,7,0,0,42.85714285714285,0
u3,2022-07-19,7,0,0,0.0,0
u3,2022-07-26,7,0,0,14.285714285714285,0
u3,2022-08-02,7,0,0,14.285714285714285,0
u3,2022-08-09,7,0,0,14.285714285714285,0
u3,2022-08-16,7,0,0,14.285714285714285,0
u3,2022-08-23,7,0,0,0.0,0
u3,2022-08-30,7,0,0,0.0,0
u3,2022-09-06,7,0,0,14.285714285714285,0
u3,2022-09-13,7,0,0,14.285714285714285,0
u3,2022-09-20,7,0,0,14.285714285714285,0
u3,2022-09-27,7,0,0,0.0,0
u3,2022-10-04,7,0,0,0.0,0
u3,2022-10-11,7,0,0,0.0,0
u3,2022-10-18,7,0,0,0.0,0
u3,2022-10-25,7,0,0,0.0,0
u3,2022-11-01,7,0,0,14.285714285714285,0
u3,2022-11-08,7,0,0,0.0,0
u3,2022-11-15,7,0,0,14.285714285714285,0
u3,2022-11-22,7,0,0,14.285714285714285,0
u3,2022-11-29,7,0,0,14.285714285714285,0
u3,2022-12-06,7,0,0,14.285714285714285,0
u3,2022-12-13,7,0,0,14.285714285714285,0
u3,2022-12-20,7,0,0,14.285714285714285,0
u3,2022-12-27,7,0,0,42.85714285714285,0
u3,2023-01-03,7,0,0,42.85714285714285,0
u3,2023-01-10,7,0,0,14.285714285714285,0
u3,2023-01-17,7,0,0,14.285714285714285,0
u3,2023-01-24,7,0,0,28.57142857142857,0
u3,2023-01-31,7,0,0,14.285714285714285,0
u3,2023-02-07,7,0,0,14.285714285714285,0
u3,2023-02-14,7,0,0,14.285714285714285,0
u3,2023-02-21,7,0,0,14.285714285714285,0
u3,2023-02-28,7,0,0,0.0,0
u3,2023-03-07,7,0,0,42.85714285714285,0
u3,2023-03-14,7,0,0,0.0,0
u3,2023-03-21,7,0,0,14.285714285714285,0
u3,2023-03-28,7,0,0,0.0,0
u3,2023-04-04,7,0,0,0.0,0
u3,2023-04-11,7,0,0,0.0,0
u3,2023-04-18,7,0,0,0.0,0
u3,2023-04-25,7,0,0,14.285714285714285,0
u3,2023-05-02,7,0,0,0.0,0
u3,2023-05-09,7,0,0,28.57142857142857,0
u3,2023-05-16,7,0,0,28.57142857142857,0
u3,2023-05-23,7,0,0,28.57142857142857,0
u3,2023-05-30,7,0,0,0.0,0
u3,2023-06-06,7,0,0,0.0,0
u3,2023-06-13,7,0,0,28.57142857142857,0
u3,2023-06-20,7,0,0,14.285714285714285,0
u3,2023-06-27,7,0,0,14.285714285714285,0
u3,2023-07-04,7,0,0,14.285714285714285,0
u3,2023-07-11,7,0,0,0.0,0
u3,2023-07-18,7,0,0,14.285714285714285,0
u3,2023-07-25,7,0,0,42.85714285714285,0
u3,2023-08-01,6,1,1,16.666666666666664,0
u3,2023-08-08,7,0,0,14.285714285714285,0
u3,2023-08-15,7,0,0,28.57142857142857,0
u3,2023-08-22,7,0,0,28.57142857142857,0
u3,2023-08-29,7,0,0,0.0,0
u3,2023-09-05,7,0,0,0.0,0
u3,2023-09-12,7,0,0,14.285714285714285,0
u3,2023-09-19,7,0,0,14.285714285714285,0
u3,2023-09-26,7,0,0,14.285714285714285,0
u3,2023-10-03,7,0,0,14.285714285714285,0
u3,2023-10-10,7,0,0,28.57142857142857,0
u3,2023-10-17,7,0,0,28.57142857142857,0
