usuario_id,usuario_alias,semana_inicio,cluster,Actividad_relativa_p50_scaled,Actividad_relativa_iqr_scaled,Superavit_calorico_basal_p50_scaled,Superavit_calorico_basal_iqr_scaled,HRV_SDNN_p50_scaled,HRV_SDNN_iqr_scaled,Delta_cardiaco_p50_scaled,Delta_cardiaco_iqr_scaled
u1,ale,2022-02-22,1,-1.0046248715313473,0.3849135414686923,-0.6371506176648253,0.2696106876876702,-0.15816149110188923,1.6078946148464672,-1.0681818181818181,0.18440809100744188
u1,ale,2022-03-01,1,-0.26461687792622973,-0.4544095575935017,-0.4389723287827102,0.10849076994177943,-0.15286000315573883,-0.008306782646807627,-0.6363636363636364,-0.15367340917286823
u1,ale,2022-03-08,1,-0.8299645997487729,-0.8118186875946454,-0.49544138685127265,-0.5583981718540699,0.6516042948685545,-0.054162662991713136,0.2727272727272727,0.051224469724289415
u1,ale,2022-03-15,1,-0.8103536218644133,-0.4323094417022619,-0.1885022504348524,-0.5885263906269499,-0.12304011005255999,-0.10733136099661976,-0.6363636363636364,-0.696652788250336
u1,ale,2022-03-22,1,-0.8422214609264966,-0.6607093386060396,-0.26134425756904883,-0.43043004752167585,-0.10100125769977307,-0.1745243001997616,-0.2846636363636366,0.1229387273382946
u1,ale,2022-03-29,1,-1.12675573826653,-0.725613533474423,-0.40481308431854446,-0.6210432589677336,0.2434437995094816,-0.6447046130764221,-0.2727272727272727,-0.20489787889715766
u1,ale,2022-04-05,1,-0.8877469453009023,-0.7947734937411,-0.48936278270892375,-0.5425685681259333,-0.26768860517878185,0.043752370597011966,-0.38636363636363635,-0.2971019244008786
u1,ale,2022-04-12,1,-1.0072513417837157,-0.4263432166582541,-0.7598383936771702,-0.19625022332424982,-0.2727224680941026,0.7340986147284667,-0.75,-0.10810412090614059
u1,ale,2022-04-19,1,0.0,-0.26010217289385645,-0.0568788048421656,-0.371945255743322,0.10884005153352043,0.16456031220235934,-0.8181818181818182,0.04097957577943153
u1,ale,2022-04-26,1,-0.9901792851433133,-0.5428010628626028,-0.2279139596376101,-0.7406165473589087,-0.1767206052890796,-0.4403069975809373,-0.6363636363636364,-1.236976690817297
u1,ale,2022-05-03,1,-0.44387347265045035,-0.36723040836437454,0.13950344077736987,-0.2672184612902784,0.08853723848346827,0.3140659637056327,-0.9545454545454546,0.2458774546765892
u1,ale,2022-05-10,1,-0.8986540925989367,-0.6666465170543763,-0.36129497631475976,-0.8169547665346685,0.019634861109196346,0.41044147891538413,-0.5681818181818182,-0.26636724256630495
u1,ale,2022-05-17,1,-0.8877469453009023,-1.0601068157023144,-0.2498188029460476,-0.5744223493948127,-0.127798994759329,-0.873586017902747,-0.45454545454545453,-0.20489787889715766
u1,ale,2022-05-24,1,-1.216055726847094,-0.8884479503971066,-0.36516649234413046,-0.7971556010112091,0.1819917613771278,0.1840561020220681,-0.11363636363636363,0.20161951283480378
u1,ale,2022-05-31,1,-1.334724428249609,-0.7412452327948125,-0.6800875932939087,-0.42792874995700003,0.10998094301440446,0.31753335693394436,-0.09090909090909091,0.6146936366914729
u1,ale,2022-06-07,1,-0.8740892999885799,-0.422616565579714,-0.5832834937478013,-0.1155430540009786,0.42039763840442157,0.42409985797489896,0.45454545454545453,0.5327344851326099
u1,ale,2022-06-14,1,-1.1425145597807476,-0.6511038737340268,-0.46219332555301507,-0.170430790427879,0.43441348450241185,0.464049949005825,-0.6363636363636364,1.2703668491623774
u1,ale,2022-06-21,1,-1.1077867864438602,0.05334665185745412,-0.4004596536369822,-0.6696073464849632,0.40281626706741464,2.354748042413666,-0.19201818181818195,0.5327344851326099
u1,ale,2022-06-28,1,-1.0613128544783221,-0.4782834160653935,-0.5523599619483501,-0.30151977630719246,-0.03804197132567115,0.2615488111192604,-0.3409090909090909,-0.020489787889715765
u1,ale,2022-07-05,1,-1.0493624148300411,-0.6373079224538793,-0.21819062283162757,-0.7079511884769255,0.004165268796943673,0.3625472012204889,-0.18181818181818182,-0.16391830311772612
u1,ale,2022-07-12,1,-1.13102375242663,-0.5087953717709331,-0.2188750226317987,-0.5279857729075172,0.5525434335356988,-0.6561688202223502,0.2727272727272727,0.30734681834573646
u1,ale,2022-07-19,1,-0.45980739218149347,0.5744955136219098,-0.12128933041449011,-0.4216972675901415,0.048828163896204056,-0.01947450712653958,-0.6363636363636364,1.0007212405337187
u1,ale,2022-07-26,1,-0.42680141601004984,-0.08489566204864703,-0.2510539623487231,-0.1804436612318172,0.3341207361143663,0.5494887939245285,0.0,-0.9187620889748556
u1,ale,2022-08-02,1,-1.3263674774466143,-0.5204411563913669,-0.44062055788726434,-0.3103344820545601,0.3341207361143663,-0.752588902655911,-0.4090909090909091,-0.7376323640297675
u1,ale,2022-08-09,1,-0.8706748886605001,-0.9483251999378675,-0.42784374504974876,0.8594381589648524,0.08606220481970157,-0.5016427183688597,-0.5,-1.1396256105956786
u1,ale,2022-08-16,1,-1.2654661984697957,-0.3271211316921514,-0.270334598139345,-0.7528286142816341,0.14374880319373023,0.3563448765603814,-0.36363636363636365,0.16391830311772612
u1,ale,2022-08-23,1,-0.9901792851433133,0.0389058789281143,-0.23066370794717342,-0.599284274318626,0.42949145116494253,-0.0017512917119706121,-0.45454545454545453,0.0
u1,ale,2022-08-30,1,-1.0689733927143994,-0.8423037684125992,-0.37622218142381886,-0.6820575103099557,0.3502949696604822,-0.2019766564678308,-0.22727272727272727,-0.5196210208831921
u1,ale,2022-09-06,1,-1.117443707371765,-0.443622715458646,-0.5176621069905587,-0.5313012082670412,0.39494377116910895,0.26274411881221554,-0.8636363636363636,-0.6212831524768053
u1,ale,2022-09-13,1,-1.0174945757679565,-0.26691242520450187,-0.2709744512069607,-0.2573924837537125,0.04911041868687551,-0.28628246137507213,-0.8181818181818182,-0.45077533357374683
u1,ale,2022-09-20,1,-0.823299931483385,-1.11030014741639,-0.12233010407510542,-0.738227897791004,-0.053053483644541266,-0.2596848897092902,-0.06818181818181818,0.18440809100744188
u1,ale,2022-09-27,1,-0.6978203151764306,-0.22631912909222343,-0.2978482800468187,-0.5288562347007513,0.10193266021118921,-0.13023986227358042,-0.45454545454545453,-0.48900927777595615
u1,ale,2022-10-04,1,-0.9816432568231124,-0.955432114654952,-0.23602551466567454,-0.6646866771714457,-0.15615870761773912,1.1375546817710556,-0.8181818181818182,-0.5073271481493622
u1,ale,2022-10-11,1,-0.9954322256480529,-0.7356552561770024,-0.4460107125264823,-0.2735728323808875,-0.14713785216742575,-0.186838023954619,-0.7272727272727273,0.04097957577943153
u1,ale,2022-10-18,1,-1.0305314190206283,-0.29148503075361976,-0.5991218820227687,-0.5626711151861519,-0.1471390011014448,-0.2994392747869615,-1.2727272727272727,-0.4712651214634626
u1,ale,2022-10-25,1,-0.8706748886605001,-0.7671884576107941,-0.21769250936759743,-0.2339975429696732,0.14601113087277606,1.0059484073802485,-0.5454545454545454,-0.6146936366914729
