,Numero_horas_con_deambulacion,Numero_horas_estacionarias,Total_hrs_monitorizadas,Hrs_sin_registro,min_totales_en_movimiento,Total_min_de_ejercicio_diario,distancia_caminada_en_km,Numero_pasos_por_dia,FCr_promedio_diario,Gasto_calorico_activo,HRV_SDNN,FC_al_caminar_promedio_diario
Numero_horas_con_deambulacion,1.0,0.3760130841427323,0.8555011998064047,-0.8555011998064047,0.5930554492552983,0.14408787781871868,0.5575610579672285,0.545205213016246,-0.5103895804164733,0.6414621189398264,0.21023488468284485,-0.09771166916074472
Numero_horas_estacionarias,0.3760130841427323,1.0,0.7699893546187564,-0.7699893546187564,0.09758307908463397,-0.04474251802549147,0.08832972458605305,0.06117800111742892,-0.6043762006651425,0.2016765464018346,0.31229961781314414,-0.046208702948560935
Total_hrs_monitorizadas,0.8555011998064047,0.7699893546187564,1.0,-1.0,0.45977196399934694,0.08045262874359708,0.4355721680980017,0.4089863663541876,-0.6499756208594617,0.5497769492352232,0.3028805424581467,-0.08286320083440996
Hrs_sin_registro,-0.8555011998064047,-0.7699893546187564,-1.0,1.0,-0.45977196399934694,-0.08045262874359708,-0.4355721680980017,-0.4089863663541876,0.6499756208594617,-0.5497769492352232,-0.3028805424581467,0.08286320083440996
min_totales_en_movimiento,0.5930554492552983,0.09758307908463397,0.45977196399934694,-0.45977196399934694,1.0,0.3463048257059032,0.746600205970483,0.848831227140599,-0.15508239783819458,0.6591860311109032,-0.021549689833886415,-0.022235964787178267
Total_min_de_ejercicio_diario,0.14408787781871868,-0.04474251802549147,0.08045262874359708,-0.08045262874359708,0.3463048257059032,1.0,0.2554092750582575,0.39499850327169794,-0.000904457458764214,0.22245003365669735,-0.03834001205685607,0.019561660140784486
distancia_caminada_en_km,0.5575610579672285,0.08832972458605305,0.4355721680980017,-0.4355721680980017,0.746600205970483,0.2554092750582575,1.0,0.8846679786147689,-0.16274120150616364,0.7984819219878404,0.012580803798532323,0.007855864285074812
Numero_pasos_por_dia,0.545205213016246,0.06117800111742892,0.4089863663541876,-0.4089863663541876,0.848831227140599,0.39499850327169794,0.8846679786147689,1.0,-0.1366390289217488,0.6721802276944385,-0.004418844958725957,-0.00501398535774755
FCr_promedio_diario,-0.5103895804164733,-0.6043762006651425,-0.6499756208594617,0.6499756208594617,-0.15508239783819458,-0.000904457458764214,-0.16274120150616364,-0.1366390289217488,1.0,-0.23973856477632186,-0.5540667513659897,0.2865372619967814
Gasto_calorico_activo,0.6414621189398264,0.2016765464018346,0.5497769492352232,-0.5497769492352232,0.6591860311109032,0.22245003365669735,0.7984819219878404,0.6721802276944385,-0.23973856477632186,1.0,0.07397736143100656,-0.0396967900945029
HRV_SDNN,0.21023488468284485,0.31229961781314414,0.3028805424581467,-0.3028805424581467,-0.021549689833886415,-0.03834001205685607,0.012580803798532323,-0.004418844958725957,-0.5540667513659897,0.07397736143100656,1.0,-0.2434755553137911
FC_al_caminar_promedio_diario,-0.09771166916074472,-0.046208702948560935,-0.08286320083440996,0.08286320083440996,-0.022235964787178267,0.019561660140784486,0.007855864285074812,-0.00501398535774755,0.2865372619967814,-0.0396967900945029,-0.2434755553137911,1.0
