usuario_id,n_semanas,fp,fn,total_errores,pct_errores,pct_fp,pct_fn
u1,149,1,0,1,0.6711409395973155,100.0,0.0
u10,131,25,0,25,19.083969465648856,100.0,0.0
u2,7,1,3,4,57.14285714285714,25.0,75.0
u3,141,100,2,102,72.3404255319149,98.0392156862745,1.9607843137254901
u4,14,4,0,4,28.57142857142857,100.0,0.0
u5,14,4,0,4,28.57142857142857,100.0,0.0
u6,278,47,4,51,18.345323741007196,92.15686274509804,7.8431372549019605
u7,114,6,0,6,5.263157894736842,100.0,0.0
u8,191,100,7,107,56.02094240837696,93.45794392523365,6.5420560747663545
u9,298,37,6,43,14.429530201342283,86.04651162790698,13.953488372093023
